模型,架构,参数量,训练时间(秒),验证_RMSE,验证_R²,验证_MAE,验证_MAPE,测试_RMSE,测试_R²,测试_MAE,测试_MAPE
纯LSTM,LSTM(64) → Dense(64) → Output(1),24449,17.531572103500366,215.40911283532466,0.8799418312800584,139.7819870100878,10.008856603837604,177.56007544586782,0.811312200017831,118.00760462200834,10.48223428145936
单向GRU,GRU(64) → Dense(64) → Output(1),19393,17.026532411575317,219.31778467856333,0.8755453088560545,145.45956701460884,10.442744033493263,186.29815696648205,0.7922838348804488,129.74134794162046,11.559934904358427
双向GRU,BiGRU(64*2) → Dense(64) → Output(1),38657,19.604215383529663,219.32313429172677,0.8755392373687385,144.65936010591585,10.397457674694275,174.8364839837444,0.8170563636461816,116.37276223706799,9.975310978821556
单向GRU+LSTM,GRU(64) → LSTM(32) → Dense(64) → Output(1),29889,22.266058683395386,227.72778454956818,0.8658175822937146,145.88519011488864,10.55602426290207,177.25696296942255,0.8119558673356921,122.81668791646386,12.001370227785284
基线模型,BiGRU(64*2) → LSTM(32) → Dense(64) → Output(1),53249,25.30213952064514,267.3954456678078,0.8150000621559351,184.74113160839698,12.642529089165588,210.22359110991377,0.7355058443226457,144.21270124212504,12.699751688035171
