strategy_name,training_time,epochs,final_trainable_ratio,test_rmse,test_r2
Baseline (From Scratch),25.952167987823486,30,1.0,174.09375349326032,0.8186074037887389
No Unfreezing,9.929761409759521,30,0.04088339687130275,171.2405092111556,0.8245044129726002
Full Unfreezing,23.188941478729248,30,1.0,172.35604741311076,0.822210449863861
Linear Progressive,13.604075193405151,30,1.0,170.835789767524,0.8253329849347522
Exponential Progressive,17.501441955566406,30,1.0,170.98202060652383,0.8250338364284693
Step Unfreezing,5.886571645736694,30,0.4302991605476159,174.18449928103226,0.8184182539343774
Adaptive Unfreezing,12.04940128326416,30,1.0,170.49480748838172,0.8260295476253589
