Strategy,Type,Description,Training_Time(s),Final_Trainable_Ratio,Val_RMSE,Val_R2,Val_MAE,Val_MAPE,Test_RMSE,Test_R2,Test_MAE,Test_MAPE
Baseline (From Scratch),Baseline,Train from scratch without pre-trained weights,25.952167987823486,1.0,214.95838213636023,0.8804437347189449,141.3472086204936,10.362031201091384,174.09375349326032,0.8186074037887389,119.84093867502652,11.676026082623496
No Unfreezing,Transfer Learning,"Only train the classifier, freeze feature extractor",9.929761409759521,0.04088339687130275,212.91378676393722,0.8827072580878368,139.93245190490774,10.25245003435808,171.2405092111556,0.8245044129726002,114.84776854852484,10.71589206467401
Full Unfreezing,Transfer Learning,Unfreeze all layers from the beginning,23.188941478729248,1.0,209.72666863197836,0.8861924989500373,139.04023838400698,10.311307372444572,172.35604741311076,0.822210449863861,116.8878554079666,10.442586227898195
Linear Progressive,Transfer Learning,Conservative linear unfreezing from epoch 8 to 20,13.604075193405151,1.0,212.08109493264485,0.8836229124622348,137.89526840273604,9.940417898943704,170.835789767524,0.8253329849347522,112.6249454079874,10.463981064585786
Exponential Progressive,Transfer Learning,Slow exponential unfreezing starting at epoch 10,17.501441955566406,1.0,211.6060285376744,0.8841437030736609,137.57755828605627,9.920289011752251,170.98202060652383,0.8250338364284693,112.88374690800016,10.458810168757562
Step Unfreezing,Transfer Learning,"Conservative step-wise unfreezing at epochs [0, 10, 20]",5.886571645736694,0.4302991605476159,214.61009773561926,0.880830840806309,142.29279954433886,10.455116523456493,174.18449928103226,0.8184182539343774,118.23011680489157,10.878765349533797
Adaptive Unfreezing,Transfer Learning,Conservative adaptive unfreezing based on validation loss,12.04940128326416,1.0,209.6571806773251,0.8862679012860222,137.02214119429124,9.943455050442068,170.49480748838172,0.8260295476253589,113.36476402479818,10.488488329275397
